Sıcaklık,Nem,Işık,Toprak_Nemi,Yağmur,Fan_Durumu,Pompa_Durumu,Led_Durumu,Isıtıcı_Durumu
27.4,89,5161,15,1,1,1,0,0
38.1,67,8490,90,0,1,0,0,0
39.1,72,1216,79,1,1,0,1,0
34.5,77,8405,45,1,1,0,0,0
28.0,47,14466,53,0,0,0,0,0
21.1,52,7369,26,1,0,1,0,0
29.0,68,6331,18,0,1,1,0,0
20.3,35,550,64,0,0,0,1,0
22.0,73,2082,95,0,0,0,1,0
35.7,68,10960,46,0,1,0,0,0
17.4,34,13380,11,1,0,1,0,1
37.8,53,14401,58,0,1,0,0,0
21.1,81,11839,88,1,0,0,0,0
33.1,81,12324,14,0,1,1,0,0
22.0,89,2515,73,1,0,0,1,0
21.8,90,13317,59,1,0,0,0,0
18.1,88,11670,25,1,0,1,0,0
11.2,54,8163,28,1,0,1,0,1
13.5,64,8580,59,1,0,0,0,1
23.2,88,11655,43,0,0,0,0,0
16.5,88,3758,42,1,0,0,0,1
29.1,69,378,63,0,1,0,1,0
24.0,82,11984,24,0,0,1,0,0
17.5,70,5540,67,0,0,0,0,1
16.9,56,14494,70,1,0,0,0,1
23.9,36,14611,30,1,0,1,0,0
22.7,73,849,19,1,0,1,1,0
32.7,48,1662,85,1,1,0,1,0
17.7,93,6359,25,0,0,1,0,1
13.6,76,10553,15,0,0,1,0,1
16.5,57,4236,35,0,0,1,0,1
26.6,53,13780,82,1,0,0,0,0
13.1,66,70,62,1,0,0,1,1
36.5,38,9375,78,0,1,0,0,0
34.8,83,10301,78,1,1,0,0,0
13.1,45,4716,52,0,0,0,0,1
36.0,71,3715,93,1,1,0,0,0
28.1,75,13098,62,0,1,0,0,0
39.7,51,5398,27,1,1,1,0,0
22.7,68,3179,51,1,0,0,0,0
23.2,82,6046,77,1,0,0,0,0
11.2,85,7629,59,1,0,0,0,1
17.1,34,7856,88,0,0,0,0,1
28.3,49,10951,14,0,1,1,0,0
38.8,46,13310,88,1,1,0,0,0
18.0,56,12045,11,0,0,1,0,0
27.1,79,5554,51,0,1,0,0,0
27.9,85,8931,36,0,1,1,0,0
15.4,43,4873,75,0,0,0,0,1
10.1,72,2500,68,1,0,0,1,1
38.8,76,13759,37,1,1,1,0,0
37.8,46,8770,79,0,1,0,0,0
33.3,90,1940,78,0,1,0,1,0
36.3,39,12559,63,1,1,0,0,0
15.3,66,4388,28,0,0,1,0,1
13.0,42,14105,61,0,0,0,0,1
11.7,62,6393,85,0,0,0,0,1
16.6,38,8549,74,0,0,0,0,1
29.3,82,11337,65,1,1,0,0,0
25.2,36,12671,65,1,0,0,0,0
19.4,73,8492,74,0,0,0,0,0
36.8,64,7139,22,1,1,1,0,0
12.2,63,13562,54,1,0,0,0,1
12.8,41,11845,90,0,0,0,0,1
29.8,74,2804,15,1,1,1,1,0
34.5,46,11003,98,0,1,0,0,0
24.7,49,9467,52,0,0,0,0,0
37.4,34,7868,71,1,1,0,0,0
36.3,89,10368,85,0,1,0,0,0
14.6,56,8008,19,1,0,1,0,1
35.0,33,3835,11,0,1,1,0,0
12.0,41,3646,44,0,0,0,0,1
38.1,37,12744,61,1,1,0,0,0
39.0,61,2310,10,0,1,1,1,0
14.8,37,7116,33,1,0,1,0,1
34.1,46,11668,23,1,1,1,0,0
21.0,43,5000,99,0,0,0,0,0
11.8,42,8493,54,0,0,0,0,1
32.6,57,12153,47,1,1,0,0,0
22.0,48,4534,20,1,0,1,0,0
21.5,51,7784,88,0,0,0,0,0
11.1,91,1016,39,1,0,1,1,1
14.8,89,8438,25,0,0,1,0,1
30.3,51,2612,72,1,1,0,1,0
20.8,67,7260,59,1,0,0,0,0
27.9,51,5600,68,1,0,0,0,0
21.6,34,2802,39,0,0,1,1,0
37.2,91,9847,59,1,1,0,0,0
33.4,32,6405,22,0,1,1,0,0
36.9,50,4297,39,0,1,1,0,0
14.5,52,8776,47,1,0,0,0,1
19.7,71,5432,60,1,0,0,0,0
11.6,46,9111,81,0,0,0,0,1
33.1,70,10827,75,1,1,0,0,0
10.6,93,9530,73,0,0,0,0,1
26.8,74,13163,59,1,0,0,0,0
13.8,80,11148,44,0,0,0,0,1
16.6,87,5828,30,1,0,1,0,1
31.3,59,2372,94,0,1,0,1,0
18.9,57,13103,22,0,0,1,0,0
37.0,39,3307,49,1,1,0,0,0
20.0,87,1212,11,0,0,1,1,0
10.2,60,7202,67,1,0,0,0,1
18.5,30,11968,90,1,0,0,0,0
24.8,58,1739,35,1,0,1,1,0
22.3,63,4217,27,1,0,1,0,0
25.0,36,4261,21,0,0,1,0,0
31.0,36,3568,31,0,1,1,0,0
20.4,73,5158,24,1,0,1,0,0
28.6,47,9290,61,1,1,0,0,0
31.3,34,11985,98,0,1,0,0,0
22.6,45,10687,24,0,0,1,0,0
16.7,94,12914,81,1,0,0,0,1
21.7,90,11362,44,1,0,0,0,0
31.9,55,13594,55,1,1,0,0,0
24.8,32,689,29,1,0,1,1,0
22.1,78,13383,25,1,0,1,0,0
28.5,92,10540,88,1,1,0,0,0
12.6,54,7622,81,0,0,0,0,1
30.8,37,12590,86,1,1,0,0,0
30.0,87,8499,37,1,1,1,0,0
15.7,56,3911,37,1,0,1,0,1
28.3,40,4480,14,1,1,1,0,0
30.1,77,4748,95,0,1,0,0,0
33.1,64,5444,16,0,1,1,0,0
22.7,39,13237,55,1,0,0,0,0
39.6,44,12129,46,0,1,0,0,0
34.5,82,988,47,0,1,0,1,0
28.5,57,7222,98,1,1,0,0,0
26.3,71,12366,27,1,0,1,0,0
33.3,44,7008,90,0,1,0,0,0
21.3,46,10191,64,1,0,0,0,0
33.3,78,5798,62,1,1,0,0,0
15.4,68,7446,15,1,0,1,0,1
30.3,58,14467,54,1,1,0,0,0
37.0,75,4949,42,1,1,0,0,0
34.5,77,2479,10,1,1,1,1,0
10.6,70,768,88,1,0,0,1,1
32.5,64,7929,47,0,1,0,0,0
24.4,94,8540,24,1,0,1,0,0
29.9,67,13034,83,1,1,0,0,0
12.3,93,4431,25,1,0,1,0,1
32.7,84,4224,99,0,1,0,0,0
38.9,66,7588,24,0,1,1,0,0
19.7,49,9764,22,0,0,1,0,0
11.2,70,5455,81,1,0,0,0,1
24.1,55,10071,28,1,0,1,0,0
13.8,66,9118,16,1,0,1,0,1
17.0,56,12361,29,1,0,1,0,1
18.6,89,3130,43,0,0,0,0,0
25.0,49,12738,89,0,0,0,0,0
34.3,43,5809,67,0,1,0,0,0
33.3,90,6755,77,0,1,0,0,0
22.4,74,9803,81,0,0,0,0,0
37.4,71,11979,53,0,1,0,0,0
25.8,37,9093,56,0,0,0,0,0
23.6,67,2937,13,1,0,1,1,0
13.1,77,4128,95,1,0,0,0,1
39.0,48,11291,33,1,1,1,0,0
19.7,49,6826,36,1,0,1,0,0
32.6,59,4680,45,1,1,0,0,0
26.0,41,10874,29,0,0,1,0,0
11.8,52,10614,37,1,0,1,0,1
24.1,62,11770,60,0,0,0,0,0
22.6,77,1228,46,1,0,0,1,0
21.1,91,13061,36,0,0,1,0,0
17.8,31,9924,20,1,0,1,0,1
27.7,43,6101,33,0,0,1,0,0
34.6,65,11765,62,1,1,0,0,0
31.1,44,2579,75,0,1,0,1,0
35.0,91,10819,20,1,1,1,0,0
12.6,31,7010,26,1,0,1,0,1
27.8,64,127,63,1,0,0,1,0
21.5,56,4299,88,1,0,0,0,0
37.5,75,13380,60,1,1,0,0,0
32.5,92,2505,39,0,1,1,1,0
10.4,74,2938,58,0,0,0,1,1
19.2,81,1202,42,0,0,0,1,0
15.2,57,11446,26,0,0,1,0,1
10.8,66,1182,94,0,0,0,1,1
28.8,66,5077,30,1,1,1,0,0
39.2,53,12895,46,0,1,0,0,0
35.0,46,9580,54,1,1,0,0,0
14.6,67,7355,19,1,0,1,0,1
32.9,72,10137,40,1,1,0,0,0
11.2,87,2298,68,0,0,0,1,1
31.7,91,12675,66,1,1,0,0,0
30.2,72,13247,65,0,1,0,0,0
34.2,93,9681,42,1,1,0,0,0
30.6,39,4748,79,1,1,0,0,0
28.3,85,9382,87,1,1,0,0,0
21.3,66,11480,17,1,0,1,0,0
35.6,84,6129,85,0,1,0,0,0
25.4,30,10855,95,0,0,0,0,0
18.6,62,12821,67,1,0,0,0,0
27.3,49,59,78,0,0,0,1,0
11.5,53,5535,20,0,0,1,0,1
13.9,85,2744,17,1,0,1,1,1
30.9,72,11298,30,0,1,1,0,0
39.1,73,12696,23,0,1,1,0,0
34.8,31,1468,60,0,1,0,1,0
19.9,35,9807,56,0,0,0,0,0
22.2,92,3026,76,0,0,0,0,0
34.6,45,14226,43,0,1,0,0,0
36.1,61,12591,18,0,1,1,0,0
26.0,91,813,13,0,1,1,1,0
16.5,55,11580,80,1,0,0,0,1
34.9,53,7587,12,0,1,1,0,0
37.0,78,741,59,1,1,0,1,0
34.9,50,12781,98,0,1,0,0,0
21.7,68,12674,85,1,0,0,0,0
22.5,64,14634,19,1,0,1,0,0
37.9,55,8639,84,0,1,0,0,0
19.0,63,6922,82,1,0,0,0,0
38.4,65,7853,71,0,1,0,0,0
29.2,90,7805,40,0,1,0,0,0
28.2,67,12563,41,1,1,0,0,0
28.9,31,3709,98,1,1,0,0,0
14.9,42,2940,72,0,0,0,1,1
24.2,95,3552,57,0,0,0,0,0
36.4,82,543,48,1,1,0,1,0
23.1,84,3619,56,1,0,0,0,0
20.7,37,11722,18,0,0,1,0,0
36.6,47,6394,39,1,1,1,0,0
14.0,35,5853,100,1,0,0,0,1
33.3,87,12139,29,1,1,1,0,0
24.9,49,5920,78,1,0,0,0,0
37.4,88,7916,33,1,1,1,0,0
30.5,91,9044,68,1,1,0,0,0
33.4,46,14540,57,0,1,0,0,0
38.7,54,2945,42,1,1,0,1,0
19.4,44,2409,41,1,0,0,1,0
23.6,37,7364,24,0,0,1,0,0
23.8,47,7173,41,0,0,0,0,0
15.2,85,5378,81,1,0,0,0,1
15.1,59,12148,87,0,0,0,0,1
12.0,37,10197,95,0,0,0,0,1
12.5,88,14491,16,1,0,1,0,1
35.4,57,13550,60,1,1,0,0,0
17.4,44,13829,54,0,0,0,0,1
11.3,52,481,73,1,0,0,1,1
38.6,62,10107,10,1,1,1,0,0
13.9,84,4553,27,0,0,1,0,1
35.7,81,12766,63,1,1,0,0,0
14.8,33,1067,32,0,0,1,1,1
11.7,54,14886,56,1,0,0,0,1
37.8,53,8253,94,1,1,0,0,0
16.6,51,10265,71,1,0,0,0,1
10.4,64,12116,54,0,0,0,0,1
29.2,79,4679,46,0,1,0,0,0
23.2,30,14987,58,1,0,0,0,0
13.4,45,11165,44,0,0,0,0,1
37.1,88,1834,59,0,1,0,1,0
32.8,75,14230,77,0,1,0,0,0
37.3,54,8357,12,1,1,1,0,0
12.2,83,4591,42,1,0,0,0,1
38.9,34,5777,52,1,1,0,0,0
33.8,72,3502,43,0,1,0,0,0
25.3,36,4765,38,0,0,1,0,0
18.0,71,7109,36,1,0,1,0,0
21.1,87,12319,55,1,0,0,0,0
31.4,50,7407,73,1,1,0,0,0
36.7,65,11285,52,1,1,0,0,0
20.0,51,8907,10,1,0,1,0,0
37.7,86,8362,47,0,1,0,0,0
28.2,95,5493,17,1,1,1,0,0
32.1,58,12843,44,1,1,0,0,0
18.2,71,4852,13,1,0,1,0,0
38.9,82,8461,85,1,1,0,0,0
37.3,69,4446,75,0,1,0,0,0
20.7,40,13759,94,1,0,0,0,0
36.5,53,4933,94,0,1,0,0,0
19.3,78,768,25,1,0,1,1,0
27.9,42,6265,53,1,0,0,0,0
35.2,73,13160,20,0,1,1,0,0
37.0,36,3969,26,0,1,1,0,0
22.6,62,13265,54,0,0,0,0,0
13.7,36,3834,45,0,0,0,0,1
22.2,52,12303,65,1,0,0,0,0
31.5,85,4141,98,1,1,0,0,0
35.6,93,6591,62,0,1,0,0,0
19.7,59,7724,46,0,0,0,0,0
13.8,89,8773,12,1,0,1,0,1
24.4,54,9763,50,1,0,0,0,0
25.3,95,8928,73,1,1,0,0,0
31.7,77,7678,95,1,1,0,0,0
23.6,30,6380,79,1,0,0,0,0
28.0,62,14604,30,0,0,1,0,0
32.7,31,9441,36,0,1,1,0,0
14.8,50,13445,20,0,0,1,0,1
30.5,39,399,88,0,1,0,1,0
16.7,71,12050,100,1,0,0,0,1
23.5,55,12529,99,0,0,0,0,0
19.6,85,2307,53,0,0,0,1,0
28.3,81,4564,55,1,1,0,0,0
18.8,73,5187,82,0,0,0,0,0
34.6,80,11393,44,0,1,0,0,0
23.7,45,5481,54,0,0,0,0,0
32.5,89,14534,52,1,1,0,0,0
24.7,84,7860,12,1,0,1,0,0
18.6,55,8884,98,1,0,0,0,0
33.6,47,2945,88,0,1,0,1,0
15.0,83,4687,62,1,0,0,0,1
13.1,63,11427,13,1,0,1,0,1
38.5,73,10501,44,1,1,0,0,0
34.6,31,14500,63,0,1,0,0,0
11.0,76,7967,69,0,0,0,0,1
38.1,87,12400,13,1,1,1,0,0
13.5,81,3989,60,1,0,0,0,1
39.5,37,137,45,0,1,0,1,0
31.0,72,9373,99,1,1,0,0,0
28.7,31,7683,32,1,1,1,0,0
19.2,83,1185,33,1,0,1,1,0
28.9,45,12859,98,1,1,0,0,0
22.3,76,10725,33,0,0,1,0,0
36.9,65,14289,37,1,1,1,0,0
36.1,93,2445,97,0,1,0,1,0
21.8,81,4561,55,1,0,0,0,0
11.9,69,5390,61,1,0,0,0,1
15.6,89,2865,97,0,0,0,1,1
15.1,90,10965,76,0,0,0,0,1
33.6,40,14668,59,1,1,0,0,0
13.4,89,3686,56,0,0,0,0,1
25.1,64,1439,53,0,0,0,1,0
14.7,62,1028,41,1,0,0,1,1
29.0,65,6607,31,0,1,1,0,0
34.2,88,6617,87,0,1,0,0,0
27.6,46,11914,98,1,0,0,0,0
14.4,62,5747,39,1,0,1,0,1
23.1,69,5875,98,0,0,0,0,0
24.2,35,1731,83,0,0,0,1,0
38.5,75,6674,10,0,1,1,0,0
13.1,83,8458,63,1,0,0,0,1
12.2,92,12977,72,1,0,0,0,1
21.9,55,9219,79,1,0,0,0,0
36.0,81,14687,35,0,1,1,0,0
28.5,75,3344,49,1,1,0,0,0
24.5,81,12239,15,1,0,1,0,0
26.0,77,7286,26,0,1,1,0,0
17.2,53,10134,31,0,0,1,0,1
10.9,91,5479,53,0,0,0,0,1
32.7,91,12395,82,0,1,0,0,0
28.3,47,14019,53,0,1,0,0,0
26.5,79,9157,83,1,1,0,0,0
12.0,88,12862,43,1,0,0,0,1
14.8,64,10683,60,0,0,0,0,1
25.6,90,5853,69,0,1,0,0,0
21.3,61,3430,69,0,0,0,0,0
36.8,61,4238,74,1,1,0,0,0
33.6,53,10916,85,1,1,0,0,0
16.1,53,6168,46,1,0,0,0,1
14.6,95,36,17,0,0,1,1,1
11.0,60,7954,45,1,0,0,0,1
15.8,70,10369,26,0,0,1,0,1
30.6,52,10506,17,0,1,1,0,0
32.4,63,12369,75,1,1,0,0,0
24.4,75,1012,53,1,0,0,1,0
11.1,73,3532,92,0,0,0,0,1
10.8,54,2349,28,1,0,1,1,1
37.2,74,10050,28,1,1,1,0,0
22.6,74,12671,22,0,0,1,0,0
11.3,60,12149,63,0,0,0,0,1
27.9,69,5067,70,1,0,0,0,0
25.0,54,2487,49,1,0,0,1,0
23.5,59,8712,22,1,0,1,0,0
17.0,81,14763,79,0,0,0,0,1
34.5,67,14121,59,1,1,0,0,0
14.2,32,3987,79,0,0,0,0,1
17.3,83,490,31,1,0,1,1,1
14.4,64,1821,95,0,0,0,1,1
22.7,56,972,99,1,0,0,1,0
28.9,47,5128,30,1,1,1,0,0
21.7,89,9624,83,1,0,0,0,0
10.5,86,2250,17,0,0,1,1,1
20.2,84,6787,33,1,0,1,0,0
20.5,72,8611,76,0,0,0,0,0
23.3,35,44,87,1,0,0,1,0
17.4,81,14508,55,0,0,0,0,1
17.0,87,11849,58,0,0,0,0,1
33.3,77,2762,60,1,1,0,1,0
10.7,72,4795,39,0,0,1,0,1
32.8,90,10663,74,0,1,0,0,0
19.9,44,284,46,1,0,0,1,0
13.4,95,4836,48,0,0,0,0,1
30.8,48,3842,84,1,1,0,0,0
11.1,32,11353,45,1,0,0,0,1
22.3,89,1811,60,0,0,0,1,0
36.3,44,5875,22,1,1,1,0,0
22.8,39,7362,29,0,0,1,0,0
22.5,63,3847,80,0,0,0,0,0
14.5,41,5150,72,1,0,0,0,1
34.7,68,8710,98,0,1,0,0,0
15.6,32,11277,52,0,0,0,0,1
34.8,55,2534,77,1,1,0,1,0
35.6,61,2055,61,1,1,0,1,0
26.2,74,10745,42,1,0,0,0,0
27.8,44,5102,16,1,0,1,0,0
23.3,73,4347,33,1,0,1,0,0
34.9,49,1034,79,0,1,0,1,0
17.2,71,11652,92,1,0,0,0,1
25.9,79,11924,41,1,1,0,0,0
30.1,52,12969,57,1,1,0,0,0
21.5,78,7445,70,0,0,0,0,0
19.0,83,3443,24,1,0,1,0,0
11.1,86,7733,96,1,0,0,0,1
23.3,71,5260,64,1,0,0,0,0
23.8,41,10918,27,0,0,1,0,0
25.2,92,11011,58,0,1,0,0,0
22.0,48,11150,37,0,0,1,0,0
36.9,69,4599,20,1,1,1,0,0
20.8,80,13155,71,0,0,0,0,0
12.6,63,8378,91,0,0,0,0,1
21.7,71,9175,99,1,0,0,0,0
28.5,91,345,36,0,1,1,1,0
15.4,61,378,65,1,0,0,1,1
30.2,64,10058,82,0,1,0,0,0
34.2,73,8305,23,0,1,1,0,0
17.4,82,8406,94,1,0,0,0,1
14.5,76,7047,25,1,0,1,0,1
30.0,43,979,21,0,1,1,1,0
11.6,46,12642,40,1,0,0,0,1
25.2,42,12811,52,0,0,0,0,0
23.2,34,6581,54,0,0,0,0,0
10.2,75,6380,39,1,0,1,0,1
18.6,57,14120,20,0,0,1,0,0
36.1,54,3624,78,1,1,0,0,0
31.2,79,12482,67,1,1,0,0,0
14.4,80,6165,65,1,0,0,0,1
37.7,88,1551,66,0,1,0,1,0
17.4,83,11547,41,1,0,0,0,1
10.4,34,8996,57,1,0,0,0,1
35.0,74,858,89,0,1,0,1,0
18.4,41,5933,56,1,0,0,0,0
26.0,55,14209,14,0,0,1,0,0
20.8,64,6178,63,0,0,0,0,0
34.8,39,717,14,0,1,1,1,0
17.7,36,9120,21,1,0,1,0,1
37.2,45,3987,30,0,1,1,0,0
12.1,32,12141,57,1,0,0,0,1
30.6,50,6159,86,1,1,0,0,0
37.5,54,12398,57,0,1,0,0,0
12.8,95,13367,80,1,0,0,0,1
21.1,59,14539,79,0,0,0,0,0
19.6,38,6929,12,0,0,1,0,0
22.5,57,12944,79,1,0,0,0,0
17.9,82,1637,98,0,0,0,1,1
19.2,32,11245,75,1,0,0,0,0
13.9,45,9535,90,0,0,0,0,1
29.5,95,6907,50,0,1,0,0,0
19.4,34,3591,13,0,0,1,0,0
37.2,81,9816,54,0,1,0,0,0
31.5,82,10867,12,1,1,1,0,0
22.1,79,7842,80,1,0,0,0,0
39.2,72,29,89,1,1,0,1,0
17.2,53,4727,10,1,0,1,0,1
34.4,38,12323,87,1,1,0,0,0
14.3,66,11602,80,1,0,0,0,1
22.8,30,7833,63,0,0,0,0,0
10.1,47,1556,59,1,0,0,1,1
34.3,78,12601,66,1,1,0,0,0
16.1,37,10045,24,1,0,1,0,1
32.3,95,10975,68,0,1,0,0,0
35.4,81,14881,30,0,1,1,0,0
23.0,79,9930,61,1,0,0,0,0
38.7,45,6302,69,1,1,0,0,0
25.1,40,6407,84,1,0,0,0,0
26.1,68,12446,84,0,0,0,0,0
35.1,62,1203,84,1,1,0,1,0
24.9,89,5922,79,0,0,0,0,0
18.5,88,11575,42,1,0,0,0,0
34.4,63,1376,22,1,1,1,1,0
34.5,79,14018,10,1,1,1,0,0
31.2,80,2877,45,0,1,0,1,0
32.3,48,3064,38,0,1,1,0,0
23.5,47,9120,96,0,0,0,0,0
35.3,32,13076,79,1,1,0,0,0
39.2,51,10675,29,0,1,1,0,0
27.5,68,12262,71,1,0,0,0,0
37.1,70,7738,55,0,1,0,0,0
13.1,50,1764,32,1,0,1,1,1
11.4,79,6098,95,1,0,0,0,1
31.6,64,9170,31,1,1,1,0,0
31.6,56,10618,21,1,1,1,0,0
39.4,44,222,18,1,1,1,1,0
13.9,34,7895,22,1,0,1,0,1
17.0,47,12447,17,1,0,1,0,1
18.3,74,3730,96,1,0,0,0,0
24.8,43,4783,95,1,0,0,0,0
23.6,60,5568,55,1,0,0,0,0
36.0,85,8846,42,1,1,0,0,0
18.1,79,11683,97,0,0,0,0,0
39.8,41,4360,63,0,1,0,0,0
36.0,54,6610,22,1,1,1,0,0
10.6,61,8031,19,0,0,1,0,1
29.4,93,2735,48,1,1,0,1,0
36.0,42,12740,85,1,1,0,0,0
33.4,31,5224,39,1,1,1,0,0
38.7,66,7445,95,1,1,0,0,0
30.1,35,11935,66,1,1,0,0,0
14.7,55,9961,20,0,0,1,0,1
32.8,90,14764,45,0,1,0,0,0
19.8,67,6151,32,1,0,1,0,0
28.1,91,11220,62,1,1,0,0,0
36.8,64,11839,86,0,1,0,0,0
33.8,76,10004,87,1,1,0,0,0
20.5,37,2209,81,0,0,0,1,0
29.2,56,13277,25,0,1,1,0,0
22.8,60,2320,25,0,0,1,1,0
38.1,84,14262,97,0,1,0,0,0
22.5,53,14275,15,0,0,1,0,0
23.9,36,10751,24,0,0,1,0,0
25.8,40,1305,67,0,0,0,1,0
25.3,78,14887,96,0,1,0,0,0
22.0,72,9164,66,0,0,0,0,0
21.3,35,939,29,0,0,1,1,0
33.2,54,9193,99,0,1,0,0,0
25.6,88,7635,51,0,1,0,0,0
13.9,86,9551,67,0,0,0,0,1
30.5,49,3110,28,0,1,1,0,0
31.6,77,5160,100,1,1,0,0,0
19.3,74,2724,83,0,0,0,1,0
27.9,52,10167,29,0,0,1,0,0
24.8,40,978,95,0,0,0,1,0
33.2,51,11989,53,0,1,0,0,0
33.1,70,13304,80,1,1,0,0,0
23.3,74,5260,85,1,0,0,0,0
28.8,35,10995,99,0,1,0,0,0
19.8,78,1240,90,0,0,0,1,0
20.0,87,1914,46,1,0,0,1,0
13.8,83,6885,33,0,0,1,0,1
24.4,52,12858,16,1,0,1,0,0
21.9,65,7285,84,0,0,0,0,0
18.1,32,11765,33,0,0,1,0,0
28.1,53,14594,36,0,1,1,0,0
13.6,80,7583,89,1,0,0,0,1
35.3,44,1152,29,1,1,1,1,0
17.3,93,5316,64,0,0,0,0,1
19.2,31,6462,43,1,0,0,0,0
22.2,36,434,63,0,0,0,1,0
26.9,91,12666,93,1,1,0,0,0
30.5,33,14156,57,1,1,0,0,0
25.7,40,12167,28,0,0,1,0,0
20.2,62,12241,91,0,0,0,0,0
12.7,61,13792,18,0,0,1,0,1
23.3,36,6928,23,0,0,1,0,0
33.4,58,9219,45,1,1,0,0,0
20.5,55,14931,49,1,0,0,0,0
12.3,70,5437,46,1,0,0,0,1
32.9,73,3388,33,0,1,1,0,0
34.2,48,13279,63,0,1,0,0,0
26.8,43,10514,62,0,0,0,0,0
28.7,40,14556,52,1,1,0,0,0
33.5,49,14239,61,0,1,0,0,0
27.5,59,8186,43,0,0,0,0,0
38.9,46,7387,74,1,1,0,0,0
30.7,73,10729,32,0,1,1,0,0
31.3,70,2461,74,1,1,0,1,0
13.0,91,2389,32,1,0,1,1,1
25.8,30,14670,10,0,0,1,0,0
23.3,53,2320,58,1,0,0,1,0
37.8,68,5546,67,1,1,0,0,0
10.5,93,208,97,1,0,0,1,1
24.0,42,12490,11,0,0,1,0,0
18.3,64,10817,54,0,0,0,0,0
16.6,77,3263,58,1,0,0,0,1
23.0,73,5524,15,0,0,1,0,0
39.6,51,10243,25,0,1,1,0,0
37.5,79,14275,37,1,1,1,0,0
27.9,68,3848,88,1,0,0,0,0
38.8,43,14869,94,1,1,0,0,0
14.2,46,7425,90,1,0,0,0,1
30.2,95,10835,21,1,1,1,0,0
39.9,89,6638,92,0,1,0,0,0
15.7,64,2512,49,1,0,0,1,1
39.1,56,6148,58,0,1,0,0,0
36.4,52,6256,10,1,1,1,0,0
27.4,42,4504,60,0,0,0,0,0
32.4,65,14353,99,1,1,0,0,0
